url,name,book_table,rate,votes,phone,location,approx_cost(for two people),cuisines,rest_type
https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi,AB's - Absolute Barbecues,1,4.9,7029  votes,+91 9373112211,Hinjawadi,"₹1,400","Continental, North Indian, Chinese",Casual Dining
https://www.zomato.com/pune/cafe-co2-resto-lounge-bhugaon,Cafe Co2 Resto Lounge,1,4.6,2578  votes,080 46971866,Bhugaon,"₹1,500","North Indian, Chinese, Continental, Kebab, Seafood","Lounge, Casual Dining"
https://www.zomato.com/pune/paasha-jw-marriott-pune-senapati-bapat-road,Paasha - JW Marriott Pune,1,4.6,3291  votes,080 46971369,Senapati Bapat Road,"₹2,500","North Indian, Kebab, Biryani",Fine Dining
https://www.zomato.com/pune/i-amsterdam-hinjawadi,I Amsterdam,1,4.3,430  votes,+91 8669698666 +91 8669697666,Hinjawadi,"₹1,400","Asian, European, Modern Indian, Italian","Casual Dining, Bar"
https://www.zomato.com/pune/fc-road-social-shivaji-nagar,FC Road Social,0,4.5,2138  votes,+91 9172378889 020 29805112,Shivaji Nagar,"₹1,500","North Indian, Chinese, Biryani, American, Continental","Bar, Casual Dining"
https://www.zomato.com/pune/flechazo-wakad,Flechazo,1,4.6,4731  votes,+91 8095311112,Wakad,"₹1,400","Asian, Mediterranean, North Indian","Bar, Casual Dining"
https://www.zomato.com/pune/barbeque-nation-sayaji-hotel-wakad,Barbeque Nation - Sayaji Hotel,1,4.5,2999  votes,18001086060,Wakad,"₹1,700","North Indian, Mughlai, Salad, Kebab, BBQ",Casual Dining
https://www.zomato.com/pune/behive-hinjawadi,BeHive,0,4.0,1437  votes,+91 9150018777 +91 9175680461,Hinjawadi,"₹1,400","North Indian, Chinese, Continental","Pub, Casual Dining"
https://www.zomato.com/pune/kayani-bakery-east-street,Kayani Bakery,0,4.7,2296  votes,020 26360517,East Street,₹150,Bakery,Bakery
https://www.zomato.com/pune/exotica-yerawada,Exotica,1,4.2,3758  votes,+91 7276307788 +91 7276305566,Yerawada,"₹1,400","North Indian, Chinese, Mediterranean, Continental",Casual Dining
https://www.zomato.com/pune/planet-9-bavdhan,Planet 9,0,4.6,Based on 370 votes,080 46971948,Bavdhan,"₹1,500","North Indian, Mughlai, Biryani","Bar, Casual Dining"
