Name,geo_loc
Pune Bhugaon,"(18.4966146, 73.7327146)"
Pune Senapati Bapat Road,
Pune Hinjawadi,"(18.5927532, 73.7382151)"
Pune Shivaji Nagar,"(18.537232799999998, 73.83532894999999)"
Pune Wakad,"(18.5951587, 73.7686858)"
Pune East Street,"(18.5159346, 73.8796596)"
Pune Yerawada,"(18.5656319, 73.8865762)"
Pune Bavdhan,"(18.5211634, 73.77579702251224)"
Pune Kalyani Nagar,"(18.5481732, 73.90075640909583)"
Pune Narhe,"(18.4601433, 73.8260099)"
Pune Bund Garden Road,"(18.5313058, 73.8760903)"
Pune Viman Nagar,"(18.5653748, 73.91028171896751)"
Pune Magarpatta,"(18.514189199999997, 73.92739850875)"
Pune Deccan Gymkhana,"(18.5158926, 73.84116)"
Pune Hadapsar,"(18.526967, 73.9278252)"
Pune Baner,"(18.5642431, 73.7768573)"
Pune Sus,"(18.552645, 73.7574904)"
Pune Shivapur,"(18.3500481, 73.8182223)"
Pune Mundhwa,"(18.5336727, 73.9317831)"
Pune FC Road,"(18.5220938, 73.8412187)"
Pune Kothrud,"(18.5038889, 73.807673)"
Pune Koregaon Park,"(18.5377173, 73.8929915)"
Pune Erandwane,
Pune MG Road,"(18.5121648, 73.8787887)"
Pune Karve Nagar,"(18.4894205, 73.821347)"
Pune Sadashiv Peth,"(18.5107764, 73.8502149)"
Pune Pune University,"(18.5413098, 73.8301449)"
Pune JM Road,"(18.5251967, 73.8497187)"
Pune Dhole Patil Road,"(18.5348981, 73.8767104)"
Pune Camp Area,
Pune Pimple Saudagar,"(18.5983184, 73.80551745297228)"
Pune Kharadi,"(18.5512562, 73.9416135)"
Pune Ravet,"(18.643269, 73.7450557)"
Pune Aundh,"(18.5618834, 73.8101957)"
Pune Nigdi,"(18.655866449999998, 73.76812951909214)"
Pune Kondhwa,"(18.4779905, 73.8940627)"
Pune Swargate,"(18.4998182, 73.8568099)"
Pune Katraj,"(18.4536792, 73.8563196)"
Pune Khadki,"(18.5641718, 73.8404533)"
Pune Salunkhe Vihar Road,"(18.4812352, 73.9019557)"
Pune Law College Road,"(18.5196531, 73.8303524)"
Pune Pimple Nilakh,"(18.572212999999998, 73.79449593928905)"
Pune Pashan,"(18.5386704, 73.7952542)"
Pune Lonavala,"(18.7503694, 73.4069436)"
Pune NIBM Road,"(18.4779173, 73.8920332)"
Pune Balewadi,"(18.5820266, 73.7689831)"
Pune Dange Chowk,"(18.6156694, 73.765352)"
Pune SB Road - Aundh,
Pune Pimpri Chinchwad Area,"(18.5738352, 73.7382163)"
Pune Wadgaon Sheri,"(18.5504406, 73.9171674562999)"
Pune Pimpri,"(18.6229526, 73.8025117)"
Pune Wanowrie Kondhwa Area,
Pune Chinchwad,"(18.6403548, 73.7917128)"
Pune Chandan Nagar,"(18.5570956, 73.9280864)"
Pune Fatima Nagar,"(18.5045098, 73.902129)"
Pune Budhwar Peth,"(18.5175599, 73.858037)"
Pune Warje,"(18.4820444, 73.8001705)"
Pune Wagholi,"(18.5799582, 73.9828231)"
Pune Akurdi,"(18.6486364, 73.764716)"
Pune Bibvewadi,"(18.4781739, 73.862105)"
Pune Rasta Peth,"(18.52191505, 73.86657611350155)"
Pune KP and Kalyani,
